content,priority
"Nice note from Tony Lake to the Secretary regarding the nutrition event in case you didn't already see it..",2
"Who had the lead on the nutrition event for us?",3
"This was the written interview where you met the journalist and took the photo.",1
"That's what my clips say. Was this taken from public statements?",2
"It's on its way with the book but someone will fax now.", 2
"Do you know when it will arrive?", 5
"This was the written interview where you met the journalist and took the photo.",4
"Jake-- What's your take on the impact of this version?", 3
"Ok.",1
"Do you have his email address? The email I sent to you both came back undelivered.", 4
"TEHRAN (AP) - Venezuelan President Chavez has arrived in Tehran for talks with Iranian leaders expected to focus on efforts to boost cooperation between the allies oil, gas and petrochemical industries. Iranian state television says Chavez was greeted by Industry Minister Ali Akbar Mehrabian at Tehran's Mehrabad airport upon arrival early October 19. State TV says Chavez will hold talks with President Ahmadinejad, during his two-day visit. The Venezuelan leader backed Iran in its confrontation with the West over Tehran's disputed nuclear program. The U.S. accuses Iran of seeking to develop an atomic bomb. Iran says its nuclear program is for peaceful purposes.", 5
"I'd like to invite two EUR staffers--Jeremy Shapiro and Siddharth Mohandas-- who wrote a good memo about US-EU to come by and meet Lady Ashton tomorrow. Or even sit in on the mtg if ok w Phil Gordon.", 5
"It has gotten incredibly positive coverage in the region. Hbi just called to praise it, and Hossam Zaki said that Aboul-Gheit thought it was ""perfect"". The timing was serendipitous -- the day after the latest Nasrallah screed (where you and I were mentioned by name), thus pushing Nasrallah aside in the media. Maura Connelly reports that Hariri was pleased. We got a big bang out of this.", 5
"Russia wants to take part in a NATO-backed missile defense shield and will go to next month's NATO summit, softening its stance after reassurances from France and Germany, a source close to participants said on October 19.", 5
"Yes, Sarah Granger blogging on Blogher which is the largest community of women who blog, 23+ million unique visitors per month according to their site", 3
"Where is this from? A blogger",1
"Very, very cool article.", 3
"You'll have a new draft when you wake up. I think it's getting close but can use one more pass from you.", 4
"Thank you TT for a very good speech. I have a few questions: Also, pls be sure the text is carefully proofread since there are a number of typos and missing words.",4
